name	id	V1	V2
Flashlight (From Pitch Perfect 2)	31563628	2015	22
Flower Power	25657484	2012	42
Gangnam Style	26295826	2012	14
Gee	27836694	2010	5
Gentleman	26173033	2013	9
Good Luck	28665538	2014	59
GYM	25918377	2013	1
Hands Up	25638836	2011	35
Happy	28283337	2014	35
Hello	25727706	2010	72
Hello Hello	25638809	2011	29
Here's To Never Growing Up	26145391	2013	70
Hero	27710300	2013	53
Hey You	22641991	2012	37
Holler	29378380	2014	60
Home	29460550	2014	72
Honey	237878	2010	35
HOT SUMMER	25638812	2011	32
How Bizarre	5159540	2015	2
Hurricane Venus	22846747	2010	65
I am a HERO	34274787	2015	23
I Dreamed a Dream	25707042	2013	32
I GOT A BOY	26165928	2013	47
I Really Like You	30841076	2015	30
I Wanna Say	29750104	2015	76
I Will Always Love You	131600	2010	37
I'll Be Back	22768482	2010	42
Intuition	25638803	2011	25
Iridescent	25639052	2011	78
Judas	25638939	2011	49
Just Say So	25639073	2011	80
Just The Way You Are	25638721	2011	4
Kelly	28497452	2014	10
Let It Go	28031119	2014	3
Let's not fall in love	33715027	2015	44
Lighthouse	25638988	2011	59
Like A G6	25638917	2011	44
Living For Love	29809868	2015	80
Lost Stars	28737747	2015	37
LOVE	22642022	2010	61
Love & Girls	28075462	2013	27
Love Killah	30482705	2015	65
Love Me Like You Do (From ''Fifty Shades of Grey'')	29966565	2015	20
LOVE ME RIGHT	32408433	2015	62
Love More	33378329	2015	42
Love Never Felt So Good	28524032	2014	76
Love Someone	28568131	2014	27
LOVE SONG	25639028	2011	74
Love Song	25638924	2011	47
Love Story	22694496	2012	54
Love The Way You Lie	1297841	2010	76
Love U U	108154	2012	56
Loved Me Back To Life	27678295	2013	3
Lucifer	22761932	2010	4
MAGIC	34690875	2015	49
Magic	28285776	2014	21
MAMACITA(아야야)	29019308	2014	6
Maps	28661564	2014	15
Memory	27747241	2013	11
Mirrors	25729093	2013	25
Misery - Acoustic	21253875	2010	19
Mistletoe	25638849	2011	37
MOTORCYCLE	28282501	2014	25
Mr. Simple	25638717	2011	1
Mr.Mr.	28274502	2014	16
MR.TAXI	25638801	2011	23
My Destiny	28152930	2014	9
My Logo	101416	2010	62
My Love	25638822	2011	33
Never Say Never	25638978	2011	55
Not Afraid	26714820	2010	30
Not Myself Tonight	17059370	2010	23
NU예삐오(NU ABO)	22735518	2010	50
Oh!	27836697	2010	70
OMG (feat. will.i.am)	24445359	2010	40
On My Mind	34722412	2015	47
One Time	18638059	2010	51
Only Girl (In The World)	21563197	2010	9
P・A・R・A・D・O・X	27867827	2013	63
PAPARAZZI	5376224	2012	30
Part Of Me	18981974	2012	51
PARTY ROCK ANTHEM	25639030	2011	75
Payphone - Explicit Version	21253807	2012	24
Perfect	35539156	2015	53
Photogenic	32477718	2015	66
PLAY我呸	29572738	2014	1
Problem	28923332	2014	12
Raindrops Keep Fallin' on My Head	25638879	2011	41
Reset	31654001	2015	75
Roar	27566922	2013	29
Rock N Roll	27090060	2013	59
Rose	26230519	2013	18
Royals	27698223	2013	42
S.N.G	202348	2012	69
Safe - Single Mix	20707406	2010	64
See You Again	30953009	2015	34
"Sexy, Free & Single"	22739438	2012	3
Shadow (그림자)	27090013	2013	8
Sherlock.셜록(Clue+Note)	22761862	2012	53
SHOUT	34383476	2015	68
Skyfall	16435064	2012	9
Smile	25638799	2011	21
SOBER	32922451	2015	51
Somebody That I Used To Know - Tiësto Remix	17939855	2012	40
Someone Like You	25638792	2011	16
Something	28242411	2014	78
Sorry	36199034	2015	43
SPY	22739432	2012	26
Starships - Album Version (Edited)	17559973	2012	61
Stay With Me	28531849	2014	63
Steal My Girl	29450452	2014	52
STEP	25639011	2011	71
Suit & Tie	25799215	2013	56
Super Girl爱无畏	25648031	2013	72
Super Style	25714145	2013	26
Supernova	34578125	2015	24
Swing	28310121	2014	58
