artist	name	id	year	rank	lang	nation
A-Lin	难得孤寂	29897527	2015	46	ch	ch
杨丞琳	匿名的好友	22740075	2010	18	ch	ch
陈彦允	基因决定我爱你	28612023	2014	45	ch	ch
罗志祥	够了	35955184	2015	6	ch	ch
A-Lin	寂寞不痛	25638987	2011	58	ch	ch
梁文音	情人知己	25638995	2011	64	ch	ch
张芸京	情人结	25638797	2011	20	ch	ch
梁静茹	情歌没有告诉你	25638841	2011	36	ch	ch
徐佳莹	惧高症	26211159	2010	13	ch	ch
林宥嘉	晚安	25638977	2011	54	ch	ch
蔡依林	第三人称	29722126	2014	8	ch	ch
杨宗纬	被遗忘的	25638772	2011	11	ch	ch
萧亚轩	逞强	306850	2012	5	ch	ch
李玖哲	最后的那一天	109129	2010	32	ch	ch
范玮琪	最亲爱的你	229137	2012	32	ch	ch
范玮琪	最重要的决定	25638875	2011	40	ch	ch
大嘴巴	喇舌	350894	2010	43	ch	ch
苏打绿	喜欢寂寞	25638827	2011	34	ch	ch
李荣浩	喜剧之王	29710981	2014	42	ch	ch
萧亚轩	敢伤	28912180	2014	20	ch	ch
F.I.R	荆棘里的花	354300	2010	63	ch	ch
王力宏	裂心	29850094	2015	67	ch	ch
严爵	谢谢你的美好	26584652	2010	25	ch	ch
周杰伦	超人不会飞- (内地版)	185686	2010	2	ch	ch
曾沛慈	黑框眼鏡	29812774	2015	56	ch	ch
郭静	嫁妆	27671259	2010	10	ch	ch
林宥嘉	想自由	25638794	2011	17	ch	ch
杨丞琳	想幸福的人	315971	2012	41	ch	ch
林俊杰	新地球	29774171	2015	50	ch	ch
SpeXial	暖男制造机	34586692	2015	60	ch	ch
信	暗藏后悔	22854028	2012	65	ch	ch
李佳薇	煎熬	25639010	2011	70	ch	ch
萧敬腾	跟我玩	28727672	2014	39	ch	ch
周杰伦	跨时代	185666	2010	38	ch	ch
张惠妹	跳进来	28754101	2014	41	ch	ch
萧亚轩	错的人	26127546	2010	8	ch	ch
李佳薇	像天堂的悬崖	28234434	2014	55	ch	ch
卢广仲	慢灵魂	25638963	2011	51	ch	ch
萧亚轩	潇洒小姐	25648038	2010	60	ch	ch
萧敬腾	福尔摩斯	22854040	2012	19	ch	ch
周杰伦	算什么男人	29818120	2015	8	ch	ch
罗志祥	舞极限	22854090	2012	49	ch	ch
罗志祥	舞法舞天	22854107	2010	26	ch	ch
周杰伦	鞋子特大号	29818117	2015	71	ch	ch
胡夏	燃点	101358	2012	27	ch	ch
Selena Gomez & The Scene	A YEAR WITHOUT RAIN	25639003	2011	68	en	en
Super Junior	A-CHA	25638759	2011	9	kr	kr
毕书尽	Action Go	29750103	2015	59	ch	ch
Kylie Minogue	All The Lovers	22611201	2010	15	en	en
Maroon 5	Animals	28987626	2014	69	en	en
Lady GaGa	Applause	27571440	2013	36	en	en
Justin Bieber	As Long As You Love Me	1518938	2012	33	en	en
JYJ	Ayyy Girl	5380900	2010	24	en	en
王心凌	Baby Boy	28747833	2014	34	ch	ch
Che'Nelle	Baby I Love U	2377878	2013	21	en	en
BIGBANG	BAD BOY	5366195	2012	44	kr	kr
BIGBANG	BAE BAE	31789299	2015	64	kr	kr
Jessie J	Bang Bang	28850212	2014	57	en	en
One Direction	Best Song Ever	26902779	2013	39	en	en
嵐	Bittersweet	28249838	2014	80	jp	jp
Robin Thicke	Blurred Lines	26075485	2013	65	en	en
Lady GaGa	Born This Way	25638780	2011	13	en	en
Justin Bieber	Boyfriend	18637982	2012	17	en	en
Super Junior M	Break Down	25706326	2013	31	ch	kr
金贤重	Break Down	25639008	2011	69	kr	kr
SpeXial	Break It Down	28732140	2014	47	ch	ch
东方神起	BREAK OUT!	22833015	2010	33	jp	kr
Linkin Park	Burn It Down	4151845	2012	55	en	en
Katy Perry	California Gurls (feat. Snoop Dogg)	18982017	2010	66	en	en
EXO	CALL ME BABY	31191712	2015	15	kr	kr
Carly Rae Jepsen	Call Me Maybe	17112288	2012	6	en	en
CNBLUE	Can't Stop	28274058	2014	4	kr	kr
东方神起	Catch Me	22644145	2012	48	kr	kr
少女时代	Catch Me If You Can	31370498	2015	55	kr	kr
郑容和	Checkmate	30148520	2015	5	kr	kr
Flo Rida	Club Can't Handle Me (Feat. David Guetta)	17793592	2010	48	en	en
毕书尽	Come Back to me	26217172	2013	51	ch	ch
SpeXial	Dangerous	34586683	2015	10	ch	ch
罗志祥	DANTE	25643428	2012	7	jp	ch
嵐	Dear Snow	770049	2010	29	jp	jp
Super Junior	Devil	33190814	2015	9	kr	kr
5 Seconds of Summer	Don't Stop	28497564	2014	18	en	en
SHINee	Downtown Baby	29428322	2014	70	jp	kr
蔡依林	Dr. Jolin	209509	2012	20	ch	ch
SHINee	Dream Girl	26090084	2013	5	kr	kr
Beyoncé	Drunk In Love (feat. Jay Z)	28111063	2014	30	en	en
Dream Girls	Dying For Love	27790701	2013	4	ch	ch
f(x)	Electric Shock	22735485	2012	25	kr	kr
WINNER	EMPTY	29357057	2014	66	jp	kr
林育群	Endless	25639079	2011	81	en	ch
嵐	Endless Game	26418057	2013	15	jp	jp
Coldplay	Every Teardrop Is a Waterfall	25638994	2011	63	en	en
SHINee	Everybody	27836877	2013	22	kr	kr
AKB48	Everyday	25638869	2011	39	jp	jp
毕书尽	Everything Changes	28288653	2014	36	en	ch
太阳	EYES, NOSE, LIPS	28953286	2014	68	kr	kr
KinKi Kids	Family～ひとつになること	25638796	2011	19	jp	jp
Henry	Fantastic	28798490	2014	46	kr	kr
BIGBANG	Fantastic Baby (Japanese Version)	22673329	2012	10	jp	kr
Beast	Fiction	25638967	2011	52	kr	kr
Jessie J	Flashlight (From Pitch Perfect 2)	31563628	2015	22	en	en
少女时代	Flower Power	25657484	2012	42	kr	kr
PSY	Gangnam Style	26295826	2012	14	kr	kr
少女时代	Gee	27836694	2010	5	kr	kr
PSY	Gentleman	26173033	2013	9	kr	kr
Beast	Good Luck	28665538	2014	59	kr	kr
自由发挥	GYM	25918377	2013	1	ch	ch
2PM	Hands Up	25638836	2011	35	kr	kr
Pharrell	Happy	28283337	2014	35	en	en
SHINee	Hello	25727706	2010	72	kr	kr
