"uid","Employer","JobLocation","RankorTitle","Specialty","Deadline","DatePosted","ApplicationStatus","OpenUntilFilled","JobSubLocation","lon","lat"
51,"Lionbridge","USA","Search Analyst: English US","General Linguistics;English",2015-12-13,2015-11-17,TRUE,FALSE,"California",-116.3801841,43.7040142
52,"University of Mississippi","USA","Assistant Professor ","Applied Linguistics;Sociolinguistics;Ling & Literature;Language Acquisition; Spanish",NA,2015-11-17,TRUE,TRUE,"Mississippi",-104.9511923,39.6965724
53,"Google, Inc.","United Kingdom","Manager Analytic Linguistic Project Manager","Computational Linguistics;Morphology;Semantics;Syntax; Lexicography;Russian",NA,2015-11-17,NA,FALSE,"London",-0.1277583,51.5073509
54,"Google, Inc.","United Kingdom","Junior Linguist","Computational Linguistics;Morphology;Phonology;Semantics; Syntax;Lexicography;Russian",NA,2015-11-17,NA,FALSE,"London",-0.1277583,51.5073509
55,"University of Massachusetts Lowell","USA","Assistant Professor ","Applied Linguistics;Language Acquisition;Spanish",2015-11-30,2015-11-17,TRUE,TRUE,"Massachusetts",-71.8257868,42.2468714
56,"DefinedCrowd Corporation","USA","Consultant Part-time US English Linguists","Phonetics;English",NA,2015-11-16,TRUE,TRUE,NA,-157.7200552,21.3626024
57,"University of Zurich","Switzerland","Post Doc ","Language Documentation;Morphology;Syntax;Text/Corpus Linguistics; German;Romansh;Romance",2015-12-18,2015-11-16,TRUE,FALSE,"Zurich",8.5600613,47.3589251
58,"SAP","USA","Senior Developer Job","Computational Linguistics;Morphology;Syntax;English; French;German",2016-05-31,2015-11-13,TRUE,TRUE,"Massachusetts",-89.3290669,38.0818476
59,"SAP","USA","Developer Job","Computational Linguistics;Morphology;Syntax;English; French;German",2016-05-31,2015-11-13,TRUE,TRUE,"Massachusetts",-89.3290669,38.0818476
60,"University of Auckland","New Zealand","Lecturer ","General Linguistics",2015-11-26,2015-11-12,TRUE,TRUE,"Auckland",174.7699782,-36.8490661
61,"University of Colorado Boulder","USA","Instructor Instructor or Senior Instructor","Applied Linguistics;Language Acquisition;French",NA,2015-11-12,TRUE,TRUE,"Colorado",-105.2555329,40.0077396
62,"California College of the Arts","USA","Assistant Professor ","Applied Linguistics;Language Acquisition;English",2016-01-08,2015-11-12,TRUE,FALSE,"California",-117.8809234,33.6914435
63,"Baruch College, City University of New York","USA","Assistant Professor ","Applied Linguistics;Discourse Analysis;Sociolinguistics",2015-12-01,2015-11-12,TRUE,TRUE,"New York",-74.0059413,40.7127837
64,"University of Neuchatel","Switzerland","Professor ","General Linguistics;German",2015-12-15,2015-11-11,TRUE,FALSE,"Neuchatel",6.9292732,46.9899874
65,"University of California at Santa Barbara","USA","Assistant Professor ","General Linguistics;Portuguese;Spanish",2015-12-07,2015-11-11,FALSE,FALSE,"California",-119.0433111,34.1656888
66,"Florida Atlantic University","USA","Assistant Professor ","General Linguistics",2015-11-27,2015-11-11,TRUE,TRUE,"Florida",-81.0081853,29.2267151
67,"Nuance Communications","Switzerland","Post Doc Language Engineer (12 month contract)","Computational Linguistics;Phonetics;Phonology;English; German",2015-12-31,2015-11-11,TRUE,TRUE,"Zurich",8.541694,47.3768866
68,"Nuance Communications","Italy","Researcher Linguist - Text-to-Speech Developer","Computational Linguistics;Phonetics;Phonology;English; German",2015-12-31,2015-11-11,TRUE,TRUE,"Turin",7.6868565,45.070312
69,"Tilburg University - Tilburg School of Humanities","Netherlands","Assistant Professor ","Computational Linguistics;Discourse Analysis;Cognitive Science",2015-11-25,2015-11-10,TRUE,TRUE,"Tilburg",5.0919143,51.560596
70,"Tilburg University - Tilburg School of Humanities","Netherlands","Assistant Professor ","Discourse Analysis",2015-11-25,2015-11-10,TRUE,TRUE,"Tilburg",5.0919143,51.560596
71,"Tilburg University - Tilburg School of Humanities","Netherlands","Assistant Professor ","Computational Linguistics;Cognitive Science;Artificial Intelligence",2015-12-15,2015-11-10,TRUE,TRUE,"Tilburg",5.0919143,51.560596
72,"Lionbridge","USA","Analytical Linguist","Computational Linguistics;General Linguistics;Chinese, Wu",2015-12-31,2015-11-10,TRUE,FALSE,"California",-116.3801841,43.7040142
73,"Middlebury Institute of International Studies at Monterey","USA","Instructor ","Applied Linguistics;Language Acquisition;Arabic, Standard;Chinese, Mandarin; French;Russian;Spanish",2016-02-27,2015-11-10,TRUE,TRUE,"California",-119.4179324,36.778261
74,"Google, Inc.","Italy","Manager Analytic Linguistic Project Manager","Computational Linguistics;Morphology;Semantics;Syntax; Text/Corpus Linguistics;Lexicography;Italian",NA,2015-11-10,TRUE,TRUE,"Milan",9.1859243,45.4654219
75,"UC Riverside","USA","Lecturer ","Morphology;Semantics",2015-12-04,2015-11-09,FALSE,FALSE,"California",-84.063729,39.7829349
76,"University of Texas at El Paso","USA","Rank Open ","Psycholinguistics;Neurolinguistics;Cognitive Science;Language Acquisition; Bilingualism",2016-01-05,2015-11-06,TRUE,TRUE,"Texas",-106.499073,31.7693274
77,"Ball State University","USA","Assistant Professor ","General Linguistics;Spanish",NA,2015-11-06,TRUE,TRUE,"Indiana",-117.88983,33.81819
78,"University of Melbourne","Australia","Post Doc ","Language Acquisition",2015-11-29,2015-11-06,FALSE,FALSE,"Melbourne",138.6067375,-34.9073785
79,"The Chinese University of Hong Kong","Hong Kong","Professor ","Phonology",2015-12-31,2015-11-06,TRUE,FALSE,"Shatin",114.20383,22.417534
80,"The Chinese University of Hong Kong","Hong Kong","Associate Professor ","Phonology",2015-12-31,2015-11-06,TRUE,FALSE,"Shatin",114.20383,22.417534
81,"The Chinese University of Hong Kong","Hong Kong","Assistant Professor ","Phonology",2015-12-31,2015-11-06,TRUE,FALSE,"Shatin",114.20383,22.417534
82,"James Madison University","USA","Lecturer ","Translation;English;Spanish",2015-12-18,2015-11-05,TRUE,TRUE,"Virginia",-91.656039,41.840695
83,"James Madison University","USA","Assistant Professor ","Translation;English;Spanish",2015-12-18,2015-11-05,TRUE,TRUE,"Virginia",-91.656039,41.840695
84,"Measurement Inc.","USA","Computational Linguist","Computational Linguistics",2015-12-11,2015-11-05,TRUE,FALSE,"North Carolina",-79.0192997,35.7595731
85,"Universität Mannheim","Germany","Lecturer ","Psycholinguistics;English",2015-12-31,2015-11-05,TRUE,TRUE,"Mannheim",8.4652045,49.4825338
86,"Universität Mannheim","Germany","Post Doc ","Psycholinguistics;English",2015-12-31,2015-11-05,TRUE,TRUE,"Mannheim",8.4652045,49.4825338
87,"Georg-August-Universität Göttingen","Germany","Full Professor ","General Linguistics;Historical Linguistics;Linguistic Theories;Typology; Indo-European",2015-12-11,2015-11-05,TRUE,FALSE,"Göttingen",9.9525578,51.5608461
88,"Google Inc.","India","Junior Linguist","Computational Linguistics;General Linguistics;Hindi",2016-05-04,2015-11-04,TRUE,TRUE,"Bangalore",77.5945627,12.9715987
89,"Google Inc.","India","Manager Analytic Linguistic Project Manager","Computational Linguistics;Morphology;Semantics;Syntax; Lexicography;Hindi",2016-05-04,2015-11-04,TRUE,TRUE,"Bangalore",77.5945627,12.9715987
90,"Högskolan Dalarna","Sweden","Senior Lecturer ","Applied Linguistics;Sociolinguistics;Anthropological Linguistics;Language Acquisition; Swedish",2015-12-13,2015-11-03,TRUE,FALSE,"Falun",15.4102793,60.4872057
91,"The American University of Armenia","Armenia","Full Professor ","Applied Linguistics;Language Acquisition;English",NA,2015-11-03,TRUE,TRUE,"Yerevan",44.5051539,40.1921699
92,"University of Memphis","USA","Assistant Professor ","Applied Linguistics",2015-12-01,2015-11-02,FALSE,FALSE,"Tennessee",-89.8505012,35.0387247
93,"Universitaet Leipzig","Germany","Professor ","Computational Linguistics;Morphology;Phonology;Psycholinguistics; Syntax",2015-11-14,2015-10-30,FALSE,FALSE,"Leipzig",12.3730747,51.3396955
94,"Oracle","USA","Programmer Computational Linguist","Computational Linguistics;Morphology;Text/Corpus Linguistics",2020-12-31,2015-10-30,TRUE,FALSE,"District of Columbia",-109.9066206,31.9868878
95,"Oracle","USA","Computational Linguist","Computational Linguistics;Morphology;Text/Corpus Linguistics",2020-12-31,2015-10-30,TRUE,FALSE,"District of Columbia",-109.9066206,31.9868878
96,"Carnegie Mellon University","USA","Rank Open ","Applied Linguistics;Language Acquisition",2016-04-30,2015-10-30,TRUE,TRUE,"Pennsylvania",-77.1945247,41.2033216
97,"The Chinese University of Hong Kong","Hong Kong","Lecturer ","Applied Linguistics;Language Acquisition;Korean",2015-11-13,2015-10-30,FALSE,FALSE,"Shatin",114.20383,22.417534
98,"Carleton University","Canada","Instructor ","Applied Linguistics;Language Acquisition;French",2015-12-11,2015-10-30,TRUE,FALSE,"Ottawa",-75.698312,45.3830819
99,"Cardiff University","United Kingdom","Researcher ","Computational Linguistics;General Linguistics;Text/Corpus Linguistics;Welsh ",2015-11-24,2015-10-30,FALSE,FALSE,"Cardiff",-3.1868361,51.4919075
